Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"DependSelectorTest.java",,124,,,,7
File,"DependSet.java",,154,,,,33
File,"DependSetTest.java",,32,,,,9
File,"DependTest.java",,94,,,,14
File,"DependencyAnalyzer.java",,17,,,,0
File,"DependencyVisitor.java",,56,,,,12
File,"DepthSelector.java",,98,,,,21
File,"DepthSelectorTest.java",,109,,,,9
File,"Description.java",,11,,,,2
File,"DescriptionTest.java",,32,,,,7
File,"DescriptorHandler.java",,193,,,,43
File,"DeweyDecimal.java",,117,,,,31
File,"Diagnostics.java",,182,,,,36
File,"DirSet.java",,16,,,,4
File,"DirSetTest.java",,34,,,,5
File,"DirectoryIterator.java",,67,,,,12
File,"DirectoryScanner.java",,63,,,,0
File,"DirectoryScanner.java",,370,,,,84
File,"DirectoryScannerTest.java",,106,,,,19
File,"Dirname.java",,25,,,,5
File,"DirnameTest.java",,37,,,,9
File,"DoubleCPInfo.java",,14,,,,3
File,"DummyTaskAbstract.java",,9,,,,2
File,"DummyTaskInterface.java",,4,,,,0
File,"DummyTaskOk.java",,8,,,,2
File,"DummyTaskOkNonTask.java",,7,,,,2
File,"DummyTaskWithNonPublicExecute.java",,7,,,,2
File,"DummyTaskWithNonVoidExecute.java",,8,,,,2
File,"DummyTaskWithoutDefaultConstructor.java",,8,,,,2
File,"DummyTaskWithoutExecute.java",,7,,,,2
File,"DummyTaskWithoutPublicConstructor.java",,8,,,,2
File,"DynamicConfigurator.java",,6,,,,0
File,"DynamicLibrary.java",,42,,,,6
File,"DynamicTask.java",,21,,,,5
File,"DynamicTest.java",,17,,,,3
File,"EJBDeploymentTool.java",,11,,,,0
File,"Ear.java",,65,,,,11
File,"Echo.java",,65,,,,15
File,"EchoProperties.java",,94,,,,19
File,"EchoPropertiesTest.java",,91,,,,18
File,"EchoTest.java",,25,,,,5
File,"EjbJar.java",,211,,,,39
File,"Ejbc.java",,78,,,,13
File,"EjbcHelper.java",,134,,,,21
File,"ElementHandler.java",,119,,,,21
File,"EmailAddress.java",,29,,,,8
File,"EmailTask.java",,234,,,,48
File,"EnumeratedAttribute.java",,41,,,,11
File,"EnumeratedAttributeTest.java",,55,,,,11
File,"Enumerations.java",,54,,,,13
File,"Environment.java",,54,,,,14
File,"Equals.java",,30,,,,8
File,"EqualsTest.java",,25,,,,3
File,"ErrorInQuitException.java",,7,,,,1
File,"EventDispatcher.java",,92,,,,16
File,"EventService.java",,7,,,,0
File,"ExceptionData.java",,39,,,,12
File,"Exec.java",,156,,,,32
File,"ExecService.java",,22,,,,0
File,"ExecTask.java",,229,,,,52
File,"Execute.java",,489,,,,91
File,"ExecuteJava.java",,134,,,,25
File,"ExecuteJavaTest.java",,64,,,,8
File,"ExecuteOn.java",,248,,,,47
File,"ExecuteStreamHandler.java",,11,,,,0
File,"ExecuteWatchdog.java",,68,,,,15
File,"ExecuteWatchdogTest.java",,102,,,,17
File,"ExecutionComponent.java",,9,,,,0
File,"ExecutionContext.java",,45,,,,9
File,"ExecutionException.java",,23,,,,6
File,"ExecutionException.java",,21,,,,6
File,"ExecutionManager.java",,72,,,,12
File,"Exit.java",,43,,,,12
File,"ExitException.java",,11,,,,2
File,"Expand.java",,178,,,,38
File,"ExpandProperties.java",,43,,,,8
File,"ExtendFileSelector.java",,5,,,,0
File,"ExtendSelector.java",,107,,,,25
File,"Extension.java",,377,,,,59
File,"ExtensionAdapter.java",,121,,,,17
