,cbo,noc,cyclomatic,dit,lcom,rfc,wmc,designDefect
52244,0,0,3,0,0,0,3,0
58428,0,17,0,1,0,2,0,0
38005,0,0,1,0,0,0,1,0
9318,0,0,1,0,0,0,1,0
52604,0,0,2,0,0,0,2,0
62343,0,0,0,2,0,3,3,0
81223,0,0,2,0,0,0,2,0
52162,0,0,2,0,0,0,2,0
130,0,0,0,0,0,0,9,0
75279,0,0,1,0,0,0,1,0
67829,0,0,0,1,0,1,1,0
7564,0,0,0,1,0,0,0,0
71756,0,0,2,0,0,0,2,0
63602,0,0,3,0,0,0,3,0
87013,0,0,0,0,0,0,0,0
26776,1,0,0,2,0,1,3,0
41526,0,0,1,0,0,0,1,0
23404,0,0,1,0,0,0,1,0
15692,0,0,1,0,0,0,1,0
39703,0,0,2,0,0,0,2,0
8484,0,0,1,0,0,0,1,0
80336,0,0,0,0,0,0,0,0
58035,1,0,0,1,33,3,4,0
58091,0,0,2,0,0,0,2,0
47883,0,0,1,0,0,0,1,0
41727,0,0,6,0,0,0,6,0
55870,0,0,0,0,0,0,0,0
4263,0,0,0,0,0,0,5,0
55800,0,0,1,0,0,0,1,0
7051,0,0,0,0,0,0,0,0
29405,0,0,2,0,0,0,2,0
51620,0,0,1,0,0,0,1,0
32295,0,0,1,0,0,0,1,0
4746,0,0,0,0,0,0,0,0
3409,0,0,1,0,0,0,1,0
55080,0,0,0,1,0,0,0,0
8607,0,0,0,0,0,0,3,0
28131,0,0,0,0,0,0,0,0
69064,0,0,1,0,0,0,1,0
2222,0,0,1,0,0,0,1,0
6844,0,0,0,0,0,0,3,0
64980,0,0,1,0,0,0,1,0
7907,0,0,1,0,0,0,1,0
54393,0,0,1,0,0,0,1,0
16764,0,0,1,0,0,0,1,0
36439,0,0,1,0,0,0,1,0
61296,0,0,1,0,0,0,1,0
3906,0,0,0,0,0,0,2,0
33572,0,0,0,2,0,1,6,0
7462,0,0,0,0,0,0,2,0
69103,2,0,0,2,0,5,1,0
26203,0,0,0,0,0,0,0,0
45763,0,0,2,0,0,0,2,0
69823,0,0,1,0,0,0,1,0
69972,5,0,0,3,0,21,2,0
6259,0,0,1,0,0,0,1,0
3065,0,0,0,0,0,0,6,0
33986,0,0,1,0,0,0,1,0
61123,0,0,0,0,0,0,5,0
22026,0,0,2,0,0,0,2,0
1291,0,0,5,0,0,0,5,0
8081,0,0,0,0,0,1,0,0
14124,0,0,1,0,0,0,1,0
8474,0,0,1,0,0,0,1,0
55711,0,0,0,0,0,0,0,0
1687,0,0,0,0,0,0,0,0
3538,0,0,1,0,0,0,1,0
33739,0,0,1,0,0,0,1,0
49375,0,0,3,0,0,0,3,0
49623,0,0,1,0,0,0,1,0
73140,0,0,1,0,0,0,1,0
3802,0,0,0,0,0,0,25,0
62711,0,0,2,0,0,0,2,0
14731,0,0,1,0,0,0,1,0
2366,0,0,1,0,0,0,1,0
85673,0,0,1,0,0,0,1,0
3775,0,0,1,0,0,0,1,0
32875,0,0,1,0,0,0,1,0
35322,0,0,0,1,0,1,1,0
63027,0,0,1,0,0,0,1,0
5601,0,0,1,0,0,0,1,0
48701,1,0,0,1,50,2,3,0
80133,0,0,1,0,0,0,1,0
86410,0,0,1,0,0,0,1,0
48684,0,0,1,0,0,0,1,0
4511,0,0,2,0,0,0,2,0
59926,0,0,1,0,0,0,1,0
75725,0,0,0,1,0,1,1,0
55377,0,0,0,1,0,0,0,0
7248,0,0,1,0,0,0,1,0
12933,0,0,1,0,0,0,1,0
74313,0,0,1,0,0,0,1,0
24797,0,0,1,0,0,0,1,0
30431,0,0,1,0,0,0,1,0
2356,0,0,1,0,0,0,1,0
11650,0,0,0,2,0,14,0,0
41059,0,0,1,0,0,0,1,0
5951,0,0,0,0,0,0,0,0
35837,0,0,1,0,0,0,1,0
57859,0,0,1,0,0,0,1,0
4683,0,0,0,0,0,0,5,0
25376,0,0,1,0,0,0,1,0
53011,0,0,0,1,0,0,0,0
50104,0,0,1,0,0,0,1,0
32747,0,0,0,2,0,1,0,0
38418,0,0,1,0,0,0,1,0
37703,0,0,1,0,0,0,1,0
43168,0,0,0,1,0,0,0,0
