Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountLineCode
File,"CaptorAnnotationTest.java",,,,149,,,,11,110
File,"CaptorAnnotationUnhappyPathTest.java",,,,43,,,,3,28
File,"CapturesArguments.java",,,,12,,,,0,4
File,"CapturingArgumentsTest.java",,,,318,,,,27,191
File,"CapturingMatcher.java",,,,65,,,,6,49
File,"CapturingMatcherTest.java",,,,73,,,,5,41
File,"CheckReturnValue.java",,,,32,,,,0,14
File,"Checks.java",,,,35,,,,6,23
File,"ChecksTest.java",,,,41,,,,4,29
File,"ChildWithSameParentFieldInjectionTest.java",,,,54,,,,5,38
File,"ClassCacheVersusClassReloadingTest.java",,,,69,,,,9,49
File,"ClassCastExOnVerifyZeroInteractionsTest.java",,,,42,,,,4,32
File,"ClassCreatingMockMaker.java",,,,12,,,,0,6
File,"ClassLoaders.java",,,,530,,,,97,440
File,"ClassLoadersTest.java",,,,344,,,,28,243
File,"ClassPathLoader.java",,,,74,,,,4,23
File,"ClassPathLoaderTest.java",,,,28,,,,2,19
File,"ClassToBeMocked.java",,,,10,,,,0,2
File,"CleaningUpPotentialStubbingTest.java",,,,54,,,,5,37
File,"ClickableStackTracesTest.java",,,,41,,,,4,29
File,"ClickableStackTracesWhenFrameworkMisusedTest.java",,,,81,,,,10,64
File,"ClonesArguments.java",,,,28,,,,2,20
File,"CloningParameterTest.java",,,,109,,,,18,73
File,"ComparableMatchersTest.java",,,,56,,,,6,37
File,"CompareEqual.java",,,,25,,,,3,15
File,"CompareMatcherTest.java",,,,135,,,,13,90
File,"CompareTo.java",,,,40,,,,5,26
File,"CompilationWarningsTest.java",,,,112,,,,6,91
File,"ConcurrentModificationExceptionOnMultiThreadedVerificationTest.java",,,,85,,,,7,55
File,"ConcurrentTesting.java",,,,40,,,,4,21
File,"ConditionalStackTraceFilter.java",,,,26,,,,2,16
File,"ConditionalStackTraceFilterTest.java",,,,46,,,,2,30
File,"Conditions.java",,,,123,,,,19,94
File,"ConfigurationAccess.java",,,,14,,,,1,7
File,"ConfusedSignatureTest.java",,,,49,,,,4,30
File,"ConsecutiveStubbing.java",,,,30,,,,4,20
File,"ConsoleMockitoLogger.java",,,,15,,,,1,6
File,"ConsoleSpammingMockitoJUnitRunner.java",,,,73,,,,7,49
File,"ConsoleSpammingMockitoJUnitRunnerTest.java",,,,80,,,,8,52
File,"ConstructorInjection.java",,,,86,,,,10,46
File,"ConstructorInjectionTest.java",,,,56,,,,5,39
File,"ConstructorInstantiator.java",,,,186,,,,33,136
File,"ConstructorInstantiatorTest.java",,,,83,,,,10,57
File,"ConstructorInvokingMethodShouldNotRaiseExceptionTest.java",,,,71,,,,9,52
File,"Contains.java",,,,28,,,,3,15
