Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"CopyfileTest.java",,,,81,45,,,,7
File,"CustomJUnit4TestAdapterCache.java",,,,91,53,,,,11
File,"CutDirsMapper.java",,,,83,36,,,,8
File,"Cvs.java",,,,41,5,,,,1
File,"CvsTagDiff.java",,,,542,281,,,,50
File,"CvsTagEntry.java",,,,110,45,,,,10
File,"CvsUser.java",,,,84,27,,,,7
File,"CvsVersion.java",,,,175,108,,,,25
Public Class,"D",0,0,0,2,2,,1,0,0
File,"D.java",,,,19,2,,,,0
File,"DOMElementWriter.java",,,,624,350,,,,78
File,"DOMElementWriterTest.java",,,,269,219,,,,16
File,"DOMUtil.java",,,,230,132,,,,30
File,"DOMUtilTest.java",,,,50,26,,,,2
File,"DOMUtils.java",,,,166,38,,,,7
File,"DTDLocation.java",,,,33,3,,,,0
File,"DataType.java",,,,371,138,,,,33
File,"Date.java",,,,41,9,,,,1
File,"Date.java",,,,161,75,,,,18
File,"DateSelector.java",,,,246,127,,,,30
File,"DateSelectorTest.java",,,,236,173,,,,19
File,"DateUtils.java",,,,374,153,,,,28
File,"DateUtilsTest.java",,,,108,68,,,,7
File,"DefBase.java",,,,168,64,,,,16
File,"DefaultCompilerAdapter.java",,,,840,504,,,,101
File,"DefaultCompilerAdapterTest.java",,,,533,464,,,,35
File,"DefaultDefinitions.java",,,,75,38,,,,5
File,"DefaultExcludes.java",,,,110,48,,,,11
File,"DefaultExcludesTest.java",,,,167,132,,,,6
File,"DefaultExecutor.java",,,,60,28,,,,6
File,"DefaultInputHandler.java",,,,127,74,,,,16
File,"DefaultJspCompilerAdapter.java",,,,139,54,,,,14
File,"DefaultLogger.java",,,,353,151,,,,35
File,"DefaultLoggerTest.java",,,,67,39,,,,3
File,"DefaultNative2Ascii.java",,,,107,33,,,,5
File,"DefaultRmicAdapter.java",,,,514,279,,,,57
File,"Definer.java",,,,630,361,,,,75
File,"DelegatedResourceComparator.java",,,,134,80,,,,24
File,"Delete.java",,,,887,523,,,,124
File,"DeleteTest.java",,,,123,78,,,,17
File,"Deltree.java",,,,102,45,,,,11
File,"DeltreeTest.java",,,,52,22,,,,3
File,"DemuxInputStream.java",,,,76,22,,,,4
File,"DemuxOutputStream.java",,,,248,106,,,,19
File,"DemuxOutputTask.java",,,,75,41,,,,7
File,"Depend.java",,,,832,505,,,,103
File,"DependScanner.java",,,,223,100,,,,22
File,"DependSelector.java",,,,66,25,,,,5
File,"DependSelectorTest.java",,,,171,109,,,,11
File,"DependSet.java",,,,292,163,,,,36
File,"DependTest.java",,,,211,120,,,,15
File,"DependencyAnalyzer.java",,,,130,17,,,,0
File,"DependencyVisitor.java",,,,200,92,,,,17
File,"DepthSelector.java",,,,165,82,,,,19
File,"DepthSelectorTest.java",,,,147,101,,,,11
File,"Description.java",,,,111,56,,,,13
File,"DescriptionTest.java",,,,65,35,,,,2
File,"DescriptorHandler.java",,,,392,207,,,,43
File,"DeweyDecimal.java",,,,54,10,,,,2
File,"DeweyDecimal.java",,,,232,103,,,,35
File,"DeweyDecimalTest.java",,,,77,44,,,,7
File,"Diagnostics.java",,,,685,424,,,,83
File,"DiagnosticsTask.java",,,,41,10,,,,1
File,"Difference.java",,,,64,33,,,,6
File,"DifferentSelector.java",,,,115,41,,,,9
File,"DigestAlgorithm.java",,,,186,73,,,,15
File,"DirSet.java",,,,112,45,,,,10
File,"DirSetTest.java",,,,97,64,,,,5
File,"Directory.java",,,,193,84,,,,20
File,"DirectoryIterator.java",,,,152,61,,,,10
File,"DirectoryScanner.java",,,,1838,812,,,,181
File,"DirectoryScannerTest.java",,,,523,405,,,,44
File,"Dirname.java",,,,81,24,,,,5
File,"DirnameTest.java",,,,85,52,,,,6
File,"DispatchTask.java",,,,59,15,,,,3
File,"DispatchTaskTest.java",,,,39,16,,,,2
File,"DispatchUtils.java",,,,115,86,,,,18
File,"Dispatchable.java",,,,31,4,,,,0
File,"DoubleCPInfo.java",,,,59,16,,,,3
File,"Draw.java",,,,100,47,,,,10
File,"DrawOperation.java",,,,40,5,,,,0
File,"DummyTaskAbstract.java",,,,32,9,,,,2
File,"DummyTaskInterface.java",,,,25,4,,,,0
File,"DummyTaskOk.java",,,,31,8,,,,2
File,"DummyTaskOkNonTask.java",,,,29,7,,,,2
File,"DummyTaskWithNonPublicExecute.java",,,,29,7,,,,2
File,"DummyTaskWithNonVoidExecute.java",,,,30,8,,,,2
File,"DummyTaskWithoutDefaultConstructor.java",,,,31,8,,,,2
File,"DummyTaskWithoutExecute.java",,,,29,7,,,,2
File,"DummyTaskWithoutPublicConstructor.java",,,,31,8,,,,2
File,"DynamicAttribute.java",,,,38,5,,,,0
File,"DynamicAttributeNS.java",,,,41,6,,,,0
File,"DynamicConfigurator.java",,,,28,4,,,,0
File,"DynamicConfiguratorNS.java",,,,27,4,,,,0
File,"DynamicElement.java",,,,36,4,,,,0
File,"DynamicElementNS.java",,,,37,5,,,,0
File,"DynamicFilterTest.java",,,,78,49,,,,7
File,"DynamicObjectAttribute.java",,,,41,5,,,,0
File,"DynamicTask.java",,,,46,21,,,,5
File,"DynamicTest.java",,,,46,22,,,,2
Public Class,"E",1,0,1,5,5,,1,0,1
Constructor,"E.E",,,,3,3,1,,,1
File,"E.java",,,,22,5,,,,1
File,"EJBDeploymentTool.java",,,,58,11,,,,0
File,"Ear.java",,,,156,74,,,,11
File,"Echo.java",,,,167,64,,,,16
File,"EchoLocation.java",,,,26,8,,,,1
File,"EchoProperties.java",,,,527,282,,,,55
File,"EchoPropertiesTest.java",,,,216,158,,,,23
File,"EchoTest.java",,,,105,63,,,,7
File,"EchoXML.java",,,,138,79,,,,15
File,"EchoXMLTest.java",,,,66,38,,,,5
File,"EjbJar.java",,,,630,234,,,,44
File,"Ellipse.java",,,,85,43,,,,8
File,"EmailAddress.java",,,,191,102,,,,26
File,"EmailAddressTest.java",,,,112,70,,,,16
File,"EmailTask.java",,,,639,321,,,,70
