Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree
Public Method,"org.apache.tools.ant.Task.setOwningTarget",,3,1,1,,
Method,"org.apache.tools.ant.Task.setProject",,3,1,1,,
Public Method,"org.apache.tools.ant.Task.setTaskName",,3,1,1,,
Method,"org.apache.tools.ant.Task.setTaskType",,3,1,1,,
Public Class,"org.apache.tools.ant.TaskAdapter",2,25,,5,0,2
Public Method,"org.apache.tools.ant.TaskAdapter.execute",,16,3,3,,
Public Method,"org.apache.tools.ant.TaskAdapter.getProxy",,3,1,1,,
Public Method,"org.apache.tools.ant.TaskAdapter.setProxy",,3,1,1,,
Public Class,"org.apache.tools.ant.XmlLogger",6,150,,29,81,1
Public Constructor,"org.apache.tools.ant.XmlLogger.XmlLogger",,2,1,1,,
Public Method,"org.apache.tools.ant.XmlLogger.buildFinished",,17,3,3,,
Public Method,"org.apache.tools.ant.XmlLogger.buildStarted",,5,1,1,,
Private Static Method,"org.apache.tools.ant.XmlLogger.formatTime",,10,2,2,,
Private Static Method,"org.apache.tools.ant.XmlLogger.getDocumentBuilder",,8,2,2,,
Public Method,"org.apache.tools.ant.XmlLogger.messageLogged",,22,6,6,,
Public Method,"org.apache.tools.ant.XmlLogger.targetFinished",,6,1,1,,
Public Method,"org.apache.tools.ant.XmlLogger.targetStarted",,5,1,1,,
Public Method,"org.apache.tools.ant.XmlLogger.taskFinished",,6,1,1,,
